"","Biomass","Geothermal","Hydro","Photovoltaic","Wind","date"
"1262",1.62958333333333,0.649583333333333,7.82208333333333,3.9825,1.45166666666667,2019-06-15
"1263",1.30916666666667,0.6425,7.69666666666667,4.49041666666667,1.62041666666667,2019-06-16
"1264",2.03916666666667,0.64,8.84333333333333,4.23625,0.69375,2019-06-17
"1265",2.29208333333333,0.617916666666667,9.29208333333333,4.21791666666667,0.597916666666667,2019-06-18
"1266",2.27916666666667,0.605416666666667,9.04,4.21291666666667,0.415416666666667,2019-06-19
"1267",2.24041666666667,0.61875,8.76541666666667,4.28166666666667,0.709583333333333,2019-06-20
"1268",2.48041666666667,0.631666666666667,8.31791666666667,4.07083333333333,0.544583333333333,2019-06-21
"1269",1.82666666666667,0.6525,7.755,2.90125,1.51708333333333,2019-06-22
"1270",1.40291666666667,0.647083333333333,7.19458333333333,4.20625,1.77625,2019-06-23
"1271",2.05916666666667,0.64125,8.47125,4.225,2.18375,2019-06-24
"1272",2.34708333333333,0.642083333333333,8.67875,4.23,3.06208333333333,2019-06-25
"1273",2.51916666666667,0.644166666666667,9.37958333333333,4.18291666666667,2.52166666666667,2019-06-26
"1274",2.76958333333333,0.654583333333333,8.78583333333333,4.13708333333333,1.8075,2019-06-27
"1275",2.78916666666667,0.646666666666667,9.40541666666667,4.14791666666667,1.43541666666667,2019-06-28
"1276",1.95791666666667,0.6525,7.92583333333333,4.33666666666667,2.7225,2019-06-29
"1277",1.75375,0.661666666666667,7.63958333333333,4.43166666666667,1.04458333333333,2019-06-30
"1278",2.085,0.6525,9.10125,4.13583333333333,0.283333333333333,2019-07-01
"1279",2.20708333333333,0.650833333333333,9.17666666666667,4.14291666666667,0.423333333333333,2019-07-02
"1280",2.3475,0.65,8.04458333333333,4.07208333333333,0.615416666666667,2019-07-03
"1281",2.255,0.63875,8.69875,4.15166666666667,0.68625,2019-07-04
"1282",2.325,0.634166666666667,7.96833333333333,4.18791666666667,0.52375,2019-07-05
"1283",1.81791666666667,0.62875,7.25125,4.08625,1.05583333333333,2019-07-06
"1284",1.58,0.60875,6.77291666666667,3.56708333333333,3.02041666666667,2019-07-07
"1285",2.20666666666667,0.617916666666667,8.0275,3.78208333333333,2.14958333333333,2019-07-08
"1286",2.28791666666667,0.63375,7.93166666666667,3.03458333333333,2.51416666666667,2019-07-09
"1287",2.15291666666667,0.627916666666667,7.50333333333333,3.27708333333333,3.05958333333333,2019-07-10
"1288",2.02333333333333,0.6425,7.49708333333333,3.56375,2.40625,2019-07-11
"1289",2.09625,0.634166666666667,7.18791666666667,3.90375,1.05041666666667,2019-07-12
"1290",1.6725,0.656666666666667,6.07458333333333,3.83208333333333,2.5575,2019-07-13
"1291",1.40083333333333,0.6625,5.15791666666667,4.31833333333333,2.32791666666667,2019-07-14
"1292",1.91,0.65625,7.0075,1.99125,1.55125,2019-07-15
"1293",1.82708333333333,0.662916666666667,6.26791666666667,3.855,3.34625,2019-07-16
"1294",2.02708333333333,0.664166666666667,6.45875,4.2775,2.06625,2019-07-17
"1295",2.2,0.663333333333333,6.4375,3.7775,0.590416666666667,2019-07-18
"1296",2.01875,0.660416666666667,7.36916666666667,4.11333333333333,0.452916666666667,2019-07-19
"1297",1.67875,0.653333333333333,5.405,4.25166666666667,0.262916666666667,2019-07-20
"1298",1.55333333333333,0.656666666666667,5,4.31083333333333,0.364583333333333,2019-07-21
"1299",2.03916666666667,0.655,6.7475,4.00083333333333,1.09875,2019-07-22
"1300",2.20875,0.647916666666667,6.87208333333333,4.17208333333333,2.35375,2019-07-23
